TIME_PERIOD,Actual_GDP,Potential_GDP_MA,Potential_GDP_HP,Potential_GDP,Output_Gap
2010-01-01,54707.0,56152.52380952381,55052.74268637327,56152.52380952381,-2.574281103423244
2010-04-01,54673.0,55982.42857142857,54943.14574894906,55982.42857142857,-2.3389992267982063
2010-07-01,55069.0,55691.09523809524,54896.2605027431,55691.09523809524,-1.1170461551090045
2010-10-01,55116.0,55544.333333333336,54915.834732134754,55544.333333333336,-0.7711557734662445
2011-01-01,55590.0,55551.71428571428,55005.72418368918,55551.71428571428,0.06891905097438727
2011-04-01,56384.0,55557.47619047619,55169.90970726391,55557.47619047619,1.4876914255250027
2011-07-01,55544.0,55800.57142857143,55412.73732510175,55800.57142857143,-0.4598007188866455
2011-10-01,55866.0,56149.95238095238,55739.3118658784,56149.95238095238,-0.5057036896948575
2012-01-01,54782.0,56539.857142857145,56154.82019744138,56539.857142857145,-3.1090583381129404
2012-04-01,56098.0,56950.71428571428,56664.528367722,56950.71428571428,-1.4972846195331748
2012-07-01,55265.0,58032.857142857145,57272.84441202816,58032.857142857145,-4.769465573689785
2012-10-01,55576.0,58982.52380952381,57983.822285437935,58982.52380952381,-5.775479904055519
2013-01-01,55262.0,60016.142857142855,58800.261040271886,60016.142857142855,-7.921440183950505
2013-04-01,56569.0,61087.95238095238,59723.454839922146,61087.95238095238,-7.397452697009076
2013-07-01,58544.0,62037.666666666664,60752.486434630715,62037.666666666664,-5.631524933776787
2013-10-01,58307.0,62991.47619047619,61884.467040364594,62991.47619047619,-7.436682665303922
2014-01-01,60551.0,63936.142857142855,63115.127569069155,63936.142857142855,-5.294568464517049
2014-04-01,62313.0,65269.0,64437.963015789544,65269.0,-4.528949424688596
2014-07-01,63106.0,66557.71428571429,65844.86579584017,66557.71428571429,-5.186046910951618
2014-10-01,63171.0,67913.90476190476,67326.40022265064,67913.90476190476,-6.9837020541413795
2015-01-01,76197.0,69423.80952380953,68871.41881852815,69423.80952380953,9.756293298580145
2015-04-01,74650.0,71119.61904761905,70466.17698064075,71119.61904761905,4.964004306627592
2015-07-01,76379.0,72814.61904761905,72101.50859439492,72814.61904761905,4.895144682484606
2015-10-01,77577.0,74569.33333333333,73770.86243458427,74569.33333333333,4.033382802581944
2016-01-01,75060.0,76303.0,75470.36070813095,76303.0,-1.6290316239204226
2016-04-01,75620.0,77996.04761904762,77198.50445793547,77996.04761904762,-3.0463692604692416
2016-07-01,76222.0,79757.90476190476,78953.53825145584,79757.90476190476,-4.433296953399456
2016-10-01,83534.0,81481.71428571429,80732.72009086383,81481.71428571429,2.5187070894083106
2017-01-01,82929.0,83180.04761904762,82531.60076692406,83180.04761904762,-0.30181230503423073
2017-04-01,83262.0,84939.80952380953,84347.4818703444,84939.80952380953,-1.97529230783031
2017-07-01,87806.0,86869.80952380953,86177.91336635337,86869.80952380953,1.0776937135264233
2017-10-01,90877.0,87854.28571428571,88019.76679401053,87854.28571428571,3.4405996942990065
2018-01-01,91171.0,89462.14285714286,89870.93124652148,89462.14285714286,1.9101455523884827
2018-04-01,92111.0,90837.95238095238,91731.08158784549,90837.95238095238,1.4014490482004316
2018-07-01,92976.0,92662.76190476191,93600.70522491285,92662.76190476191,0.33804096575497666
2018-10-01,94098.0,94786.80952380953,95480.52701366137,94786.80952380953,-0.7266934368505191
2019-01-01,95306.0,97015.09523809524,97370.88136926328,97015.09523809524,-1.7616796993300488
2019-04-01,96751.0,99165.19047619047,99271.23862750732,99165.19047619047,-2.4345140311812536
2019-07-01,97978.0,101196.0,101179.77857332636,101196.0,-3.179967587651686
2019-10-01,100061.0,103412.04761904762,103093.10584251114,103412.04761904762,-3.2404808687207387
2020-01-01,103701.0,105774.95238095238,105005.82395924408,105774.95238095238,-1.9607216399237561
2020-04-01,96871.0,107896.85714285714,106910.64138155598,107896.85714285714,-10.21888629087568
2020-07-01,108415.0,109561.47619047618,108799.45105250317,109561.47619047618,-1.046422730269714
2020-10-01,105271.0,111149.42857142857,110657.87113927849,111149.42857142857,-5.288761846985906
2021-01-01,115898.0,112568.76190476191,112471.27952716695,112568.76190476191,2.9575150680388336
2021-04-01,119665.0,113817.57142857143,114221.68730699147,113817.57142857143,5.137544667343601
2021-07-01,122414.0,115103.52380952382,115893.2472698707,115103.52380952382,6.351218406287667
2021-10-01,121374.0,116311.57142857143,117473.51427735639,116311.57142857143,4.352471993328259
2022-01-01,126181.0,117684.04761904762,118954.11866145665,117684.04761904762,7.220139477576158
2022-04-01,129466.0,119214.14285714286,120329.12855775622,119214.14285714286,8.599530976070675
2022-07-01,132883.0,,121597.12890267646,121597.12890267646,9.281363136753413
2022-10-01,132366.0,,122762.41517729007,122762.41517729007,7.822903132722425
2023-01-01,125834.0,,123836.3365321056,123836.3365321056,1.6131480660980992
2023-04-01,124518.0,,124836.24435814588,124836.24435814588,-0.25492945560975055
2023-07-01,121917.0,,125780.73858610113,125780.73858610113,-3.0718046574804214
2023-10-01,119201.0,,126688.22024393769,126688.22024393769,-5.909957713133132
2024-01-01,121103.0,,127574.67552300562,127574.67552300562,-5.0728528185349555
2024-04-01,120675.0,,128451.41110200265,128451.41110200265,-6.053970941453836
2024-07-01,125573.0,,129325.6888624246,129325.6888624246,-2.90173506550325
2024-10-01,130110.0,,130199.91042882857,130199.91042882857,-0.06905567640749052
